WORK_TIME,FAMILY_INCOME,PERSONAL_INCOME,CREDIT,TERM,FST_PAYMENT,AGREEMENT_RK,TARGET,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,FL_PRESENCE_FL,OWN_AUTO,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
60.0,от 10000 до 20000 руб.,15000.0,8918.0,6,1000.0,59913985,0,28,1,Высшее,Не состоял в браке,0,0,1,0,0,0,1,1
192.0,от 10000 до 20000 руб.,10000.0,10342.0,6,1200.0,59914132,0,37,1,Высшее,Состою в браке,1,1,1,0,1,0,1,1
76.0,от 10000 до 20000 руб.,10000.0,19857.0,6,6000.0,59914133,0,42,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1
120.0,от 10000 до 20000 руб.,14000.0,13000.0,6,1500.0,59914282,0,45,1,Высшее,Разведен(а),3,2,1,0,0,0,1,1
108.0,от 10000 до 20000 руб.,10000.0,7300.0,6,3000.0,59914348,0,32,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,1,1,1
24.0,от 10000 до 20000 руб.,8000.0,12646.0,6,1500.0,59914507,0,33,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1
18.0,от 10000 до 20000 руб.,13000.0,14619.0,6,1625.0,59914532,0,38,1,Среднее специальное,Не состоял в браке,1,1,1,0,1,0,1,1
60.0,от 20000 до 50000 руб.,12500.0,3909.0,3,690.0,59914562,0,27,1,Высшее,Состою в браке,0,0,1,0,0,1,1,1
15.0,от 20000 до 50000 руб.,12000.0,30198.0,6,5752.0,59914760,1,31,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1
2.0,от 20000 до 50000 руб.,20000.0,3390.0,6,400.0,59914815,0,40,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1
96.0,от 20000 до 50000 руб.,11000.0,3307.0,4,583.0,59914934,0,40,1,Среднее специальное,Состою в браке,3,2,1,0,0,1,1,1
108.0,от 10000 до 20000 руб.,15000.0,3490.0,3,4500.0,59914938,0,27,0,Высшее,Состою в браке,1,1,1,0,0,0,1,1
20.0,от 5000 до 10000 руб.,5000.0,9991.0,6,309.0,59915134,0,49,1,Среднее специальное,Не состоял в браке,2,0,1,0,0,0,1,1
12.0,от 20000 до 50000 руб.,10000.0,10000.0,6,4700.0,59915164,0,29,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,1,1,1
96.0,от 10000 до 20000 руб.,13000.0,8118.0,3,8117.0,59915192,0,61,1,Высшее,Состою в браке,0,0,1,0,0,0,1,1
12.0,от 20000 до 50000 руб.,30000.0,26990.0,6,9000.0,59915193,0,43,1,Среднее специальное,Состою в браке,2,2,1,0,0,1,1,1
6.0,от 20000 до 50000 руб.,23000.0,4869.66,6,1385.0,59915275,0,38,0,Высшее,Не состоял в браке,0,0,1,0,1,0,2,2
120.0,от 20000 до 50000 руб.,15000.0,8730.0,10,1000.0,59915302,0,38,0,Среднее специальное,Состою в браке,4,4,1,0,0,1,1,1
240.0,от 10000 до 20000 руб.,10000.0,19989.0,6,2500.0,59915312,0,49,0,Среднее специальное,Состою в браке,2,0,1,0,1,0,1,1
180.0,от 10000 до 20000 руб.,13000.0,5119.0,6,570.0,59915340,0,44,1,Среднее специальное,Состою в браке,0,0,1,0,0,0,1,1
3.0,от 10000 до 20000 руб.,8000.0,4550.0,3,1000.0,59915402,0,28,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,2,2
96.0,от 20000 до 50000 руб.,20000.0,19240.0,36,0.0,59915484,0,31,0,Среднее специальное,Состою в браке,1,1,1,0,1,0,1,1
36.0,от 20000 до 50000 руб.,8000.0,26820.0,10,2980.0,59915564,0,54,1,Высшее,Состою в браке,2,0,1,0,1,0,2,1
144.0,от 10000 до 20000 руб.,13000.0,13800.0,5,5000.0,59915634,0,48,1,Среднее специальное,Состою в браке,2,0,1,0,1,0,1,1
30.0,свыше 50000 руб.,50000.0,45665.0,8,5100.0,59915800,0,24,0,Высшее,Состою в браке,0,0,1,0,0,0,1,1
132.0,от 20000 до 50000 руб.,15000.0,10000.0,6,4455.0,59915970,0,48,1,Высшее,Вдовец/Вдова,0,0,1,0,1,0,1,1
72.0,от 20000 до 50000 руб.,20000.0,18471.0,3,10000.0,59916060,0,43,1,Неоконченное высшее,Разведен(а),1,1,1,0,0,0,2,1
30.0,от 20000 до 50000 руб.,18000.0,7850.0,3,3000.0,59916079,0,23,0,Среднее специальное,Состою в браке,1,1,1,0,0,1,1,1
120.0,свыше 50000 руб.,40000.0,23166.0,5,2574.0,59916196,0,54,1,Среднее специальное,Не состоял в браке,2,0,1,0,0,0,1,1
14.0,от 10000 до 20000 руб.,10000.0,7581.0,6,1338.0,59916537,0,37,0,Среднее,Состою в браке,1,1,1,0,0,1,1,1
14.0,от 20000 до 50000 руб.,20000.0,34335.0,6,3815.0,59916782,0,47,1,Высшее,Состою в браке,0,0,1,0,1,0,1,1
36.0,от 10000 до 20000 руб.,15000.0,10925.0,3,2000.0,59917064,0,24,0,Среднее,Состою в браке,0,0,1,0,0,0,2,2
324.0,от 10000 до 20000 руб.,11000.0,10570.0,4,5000.0,59917071,0,48,1,Среднее,Не состоял в браке,0,0,1,0,1,0,1,1
29.0,от 20000 до 50000 руб.,9000.0,6163.0,6,1087.0,59917205,0,34,1,Высшее,Не состоял в браке,0,0,1,0,0,0,1,1
96.0,от 20000 до 50000 руб.,12800.0,13441.0,10,7049.0,59917790,0,31,1,Среднее специальное,Не состоял в браке,0,0,1,0,1,0,2,1
12.0,от 20000 до 50000 руб.,20000.0,16870.0,6,2000.0,59917807,0,31,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1
24.0,от 10000 до 20000 руб.,15000.0,16400.0,6,3000.0,59917814,1,35,1,Среднее специальное,Не состоял в браке,1,1,1,0,1,0,1,1
72.0,от 20000 до 50000 руб.,15000.0,4938.0,6,1500.0,59918129,0,35,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1
360.0,от 10000 до 20000 руб.,7000.0,7920.0,5,880.0,59918142,0,52,0,Среднее,Состою в браке,0,1,1,0,0,0,1,1
180.0,от 10000 до 20000 руб.,6000.0,3000.0,3,790.0,59918152,1,34,0,Среднее,Состою в браке,2,2,1,0,0,0,1,1
108.0,от 10000 до 20000 руб.,11000.0,11070.0,6,1300.0,59918243,0,44,0,Неполное среднее,Гражданский брак,3,3,1,0,0,0,1,1
48.0,от 20000 до 50000 руб.,30000.0,9500.0,6,2500.0,59918616,0,30,0,Среднее специальное,Разведен(а),0,0,1,0,0,0,1,1
36.0,от 5000 до 10000 руб.,5300.0,5690.0,6,5500.0,59918705,0,27,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,1,1
4.0,свыше 50000 руб.,50000.0,9907.2,3,2000.0,59918758,0,35,1,Высшее,Не состоял в браке,0,0,1,0,1,0,1,1
120.0,от 10000 до 20000 руб.,11000.0,15598.0,6,5000.0,59919115,0,48,1,Среднее специальное,Состою в браке,2,0,1,0,1,0,1,1
96.0,от 20000 до 50000 руб.,11700.0,21050.0,12,3000.0,59919158,0,29,1,Среднее специальное,Состою в браке,1,1,1,0,1,0,1,1
60.0,от 10000 до 20000 руб.,8000.0,5431.2,6,168.0,59919255,0,30,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1
24.0,от 10000 до 20000 руб.,5000.0,4250.0,4,2000.0,59919426,0,31,1,Среднее,Состою в браке,1,1,1,0,1,0,2,2
60.0,от 10000 до 20000 руб.,7500.0,5400.0,6,3000.0,59919466,0,51,1,Среднее специальное,Состою в браке,2,0,1,0,0,0,1,1
252.0,от 20000 до 50000 руб.,18000.0,3750.0,9,0.0,59919794,0,47,0,Среднее специальное,Состою в браке,2,1,1,0,1,1,2,2
24.0,от 5000 до 10000 руб.,8000.0,4490.0,6,500.0,59919854,0,26,0,Неоконченное высшее,Не состоял в браке,0,0,1,0,0,0,1,1
120.0,от 20000 до 50000 руб.,20000.0,8330.0,5,2200.0,59920262,0,44,0,Среднее специальное,Состою в браке,2,2,1,0,0,0,1,1
12.0,от 10000 до 20000 руб.,10000.0,7795.0,6,7795.0,59920457,1,33,1,Высшее,Состою в браке,1,1,1,0,0,0,1,1
28.0,от 10000 до 20000 руб.,9000.0,3307.0,6,583.0,59920692,0,35,1,Высшее,Не состоял в браке,0,0,1,0,0,0,1,1
300.0,от 10000 до 20000 руб.,11000.0,21380.0,4,5000.0,59920809,0,51,1,Среднее специальное,Вдовец/Вдова,1,0,1,0,1,0,1,1
12.0,от 20000 до 50000 руб.,15000.0,9990.0,6,3000.0,59920871,0,43,1,Высшее,Состою в браке,1,1,1,0,0,0,2,2
4.0,от 10000 до 20000 руб.,15000.0,5570.0,4,620.0,59920924,0,35,0,Среднее специальное,Не состоял в браке,1,1,1,0,0,1,1,1
12.0,от 10000 до 20000 руб.,10000.0,9997.0,6,1120.0,59921016,1,27,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,1,1
36.0,от 20000 до 50000 руб.,15000.0,15190.0,6,7000.0,59921388,0,54,1,Среднее специальное,Состою в браке,0,0,1,0,1,0,1,1
12.0,от 20000 до 50000 руб.,8000.0,3299.0,6,370.0,59921422,0,28,1,Неполное среднее,Состою в браке,1,1,1,0,0,0,1,1
72.0,от 20000 до 50000 руб.,25000.0,10394.0,6,5000.0,59921596,0,53,0,Среднее специальное,Состою в браке,2,0,1,0,0,1,1,1
12.0,от 10000 до 20000 руб.,11000.0,6843.0,4,4500.0,59921625,0,29,1,Среднее специальное,Состою в браке,1,1,1,0,1,0,1,1
48.0,от 10000 до 20000 руб.,8500.0,8990.0,12,1000.0,59921843,0,59,1,Высшее,Разведен(а),1,0,1,0,0,0,1,1
24.0,от 10000 до 20000 руб.,4000.0,3610.0,10,410.0,59922010,0,56,0,Среднее специальное,Состою в браке,3,0,1,0,0,0,1,1
192.0,от 20000 до 50000 руб.,15000.0,9137.0,3,1500.0,59922118,0,37,1,Среднее,Состою в браке,3,3,1,1,1,0,2,1
196.0,от 10000 до 20000 руб.,8000.0,10693.0,6,1887.0,59922128,0,51,0,Среднее специальное,Состою в браке,1,0,1,0,0,0,1,1
24.0,от 10000 до 20000 руб.,10000.0,7199.0,6,800.0,59923054,0,63,0,Среднее,Состою в браке,1,0,1,0,0,0,1,1
94.0,от 20000 до 50000 руб.,18000.0,10000.0,6,3555.0,59923107,0,31,0,Высшее,Состою в браке,0,0,1,0,0,0,1,1
108.0,от 20000 до 50000 руб.,15000.0,21984.55,10,3880.0,59923159,0,58,0,Высшее,Состою в браке,3,1,1,0,0,0,1,1
25.0,от 10000 до 20000 руб.,12000.0,3140.0,4,350.0,59923161,0,48,0,Среднее специальное,Состою в браке,2,0,1,0,0,0,1,1
190.0,от 10000 до 20000 руб.,7300.0,10953.0,4,11337.0,59923165,0,37,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1
348.0,от 20000 до 50000 руб.,25000.0,8442.0,5,938.0,59923241,0,52,1,Среднее специальное,Не состоял в браке,0,0,1,0,1,0,1,1
96.0,от 10000 до 20000 руб.,8000.0,5650.0,6,630.0,59923269,0,52,1,Среднее специальное,Не состоял в браке,0,0,1,0,1,0,1,1
120.0,от 10000 до 20000 руб.,12000.0,8991.0,9,0.0,59923341,0,37,0,Среднее специальное,Разведен(а),0,0,1,0,0,1,1,1
10.0,от 10000 до 20000 руб.,8000.0,18900.0,10,2100.0,59923386,0,22,0,Среднее специальное,Не состоял в браке,1,0,1,0,0,0,1,1
205.0,от 20000 до 50000 руб.,10000.0,3906.0,6,500.0,59923424,0,36,1,Среднее специальное,Состою в браке,2,2,1,0,0,0,1,1
62.0,от 10000 до 20000 руб.,14500.0,7452.4,6,1900.0,59923546,0,37,0,Среднее,Состою в браке,1,1,1,0,0,0,1,1
14.0,от 10000 до 20000 руб.,10000.0,20700.0,10,3000.0,59923612,0,26,0,Высшее,Не состоял в браке,0,0,1,0,1,0,2,1
12.0,от 10000 до 20000 руб.,5000.0,4947.0,6,873.0,59923678,0,45,1,Среднее,Не состоял в браке,1,1,1,0,0,0,1,1
19.0,от 10000 до 20000 руб.,12000.0,9621.0,6,1069.0,59923884,0,22,0,Среднее специальное,Состою в браке,1,2,1,0,0,0,1,1
48.0,от 20000 до 50000 руб.,30000.0,37752.0,6,5148.0,59924026,0,57,0,Среднее,Не состоял в браке,0,0,1,1,0,1,1,1
180.0,от 20000 до 50000 руб.,27000.0,4950.0,4,2000.0,59924146,0,39,0,Высшее,Состою в браке,2,2,1,0,0,0,1,1
120.0,от 20000 до 50000 руб.,9000.0,11230.0,4,3000.0,59924239,0,37,1,Среднее специальное,Состою в браке,2,2,1,0,0,0,1,1
252.0,от 10000 до 20000 руб.,18000.0,16190.0,4,1800.0,59924607,0,41,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,1,1,1
24.0,от 10000 до 20000 руб.,6000.0,10000.0,3,5670.0,59925055,0,34,0,Среднее специальное,Состою в браке,2,2,1,0,0,0,2,2
36.0,от 20000 до 50000 руб.,15000.0,7800.0,5,15000.0,59925110,0,44,0,Среднее специальное,Состою в браке,1,0,1,0,0,1,1,1
120.0,от 20000 до 50000 руб.,13500.0,3890.0,6,700.0,59925185,0,38,0,Среднее специальное,Состою в браке,1,1,1,0,1,0,1,1
120.0,от 10000 до 20000 руб.,6500.0,5020.0,3,15000.0,59925195,0,40,1,Высшее,Состою в браке,1,1,1,0,0,0,1,1
156.0,от 20000 до 50000 руб.,14000.0,9050.0,4,12000.0,59925200,0,40,0,Среднее специальное,Состою в браке,2,2,1,0,1,1,1,1
16.0,от 20000 до 50000 руб.,15000.0,27000.0,10,3000.0,59925263,0,27,1,Неоконченное высшее,Состою в браке,1,1,1,0,0,1,1,1
84.0,от 20000 до 50000 руб.,20000.0,18984.0,5,1912.0,59925320,0,29,0,Высшее,Состою в браке,1,1,1,0,0,0,1,1
12.0,от 20000 до 50000 руб.,10000.0,4250.0,6,4000.0,59925344,0,28,1,Высшее,Состою в браке,1,1,1,0,0,0,1,1
38.0,от 10000 до 20000 руб.,8600.0,2881.0,6,509.0,59925421,0,41,1,Среднее специальное,Не состоял в браке,2,1,1,0,1,0,1,1
72.0,от 20000 до 50000 руб.,35000.0,34804.0,6,4746.0,59925539,0,39,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1
144.0,от 20000 до 50000 руб.,15000.0,6898.0,12,2000.0,59925799,0,43,0,Среднее,Состою в браке,0,0,1,0,0,1,1,1
216.0,от 20000 до 50000 руб.,15000.0,14611.0,5,769.0,59925872,0,50,1,Высшее,Состою в браке,0,0,1,0,0,0,1,1
36.0,от 20000 до 50000 руб.,38000.0,19590.0,8,7000.0,59925882,0,38,0,Среднее,Состою в браке,4,4,1,0,1,1,3,2
72.0,от 20000 до 50000 руб.,25000.0,3590.0,4,1000.0,59925955,0,51,1,Среднее специальное,Разведен(а),0,0,1,0,1,0,1,1
15.0,от 20000 до 50000 руб.,11000.0,22072.0,6,8008.0,59926091,1,54,1,Среднее специальное,Не состоял в браке,1,1,1,0,1,0,1,1
70.0,от 20000 до 50000 руб.,15000.0,8132.0,5,2239.0,59926221,0,35,1,Высшее,Состою в браке,1,1,1,0,0,0,1,1
10.0,от 20000 до 50000 руб.,10000.0,27356.0,12,4000.0,59926263,0,27,1,Высшее,Состою в браке,2,2,1,0,0,0,1,1
24.0,от 10000 до 20000 руб.,6000.0,3500.0,6,1000.0,59926295,0,48,1,Неполное среднее,Состою в браке,2,0,1,0,1,0,1,1
48.0,от 20000 до 50000 руб.,12000.0,16680.0,3,5320.0,59926408,0,50,1,Среднее специальное,Состою в браке,0,0,1,0,0,0,1,1
228.0,от 5000 до 10000 руб.,5000.0,3034.0,5,535.0,59926549,0,41,1,Среднее специальное,Состою в браке,2,2,1,0,0,0,1,1
126.0,от 10000 до 20000 руб.,10000.0,6690.0,3,2000.0,59926704,0,42,1,Неоконченное высшее,Состою в браке,1,1,1,0,1,0,2,2
3.0,от 10000 до 20000 руб.,6200.0,6990.0,6,6000.0,59926732,0,29,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1
24.0,от 20000 до 50000 руб.,10000.0,2090.0,6,0.0,59926912,0,27,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,1,1
24.0,от 20000 до 50000 руб.,20000.0,7080.0,6,1000.0,59926936,0,40,0,Высшее,Состою в браке,2,2,1,0,1,0,1,1
18.0,от 10000 до 20000 руб.,15000.0,7380.0,6,1302.0,59927010,0,29,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,1,1
120.0,от 5000 до 10000 руб.,6000.0,5695.0,6,1005.0,59927078,0,53,1,Среднее,Разведен(а),0,0,1,0,0,0,1,1
48.0,от 10000 до 20000 руб.,8000.0,9100.0,4,6000.0,59927260,0,46,0,Высшее,Состою в браке,1,0,1,0,0,0,1,1
60.0,от 10000 до 20000 руб.,10500.0,4430.0,5,500.0,59927451,0,32,1,Среднее специальное,Не состоял в браке,1,1,1,0,0,0,1,1
120.0,от 20000 до 50000 руб.,170000.0,12500.0,4,1457.0,59927525,0,56,1,Среднее специальное,Состою в браке,0,0,1,0,1,0,1,1
312.0,от 10000 до 20000 руб.,15000.0,5694.0,12,1005.0,59927554,0,51,1,Среднее специальное,Состою в браке,0,0,1,1,0,0,1,1
28.0,от 10000 до 20000 руб.,15000.0,17990.0,6,3000.0,59927584,0,31,1,Высшее,Разведен(а),2,2,1,0,1,0,1,1
42.0,от 10000 до 20000 руб.,10000.0,3690.0,9,410.0,59927613,0,51,1,Среднее специальное,Состою в браке,2,0,1,0,0,0,1,1
360.0,от 10000 до 20000 руб.,8000.0,13120.0,6,13650.0,59927690,0,43,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1
13.0,от 10000 до 20000 руб.,10000.0,30471.0,6,4000.0,59927793,0,35,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,2,2
30.0,от 10000 до 20000 руб.,9000.0,5500.0,6,1000.0,59927798,0,38,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,1,1
420.0,от 20000 до 50000 руб.,20000.0,43515.0,5,30000.0,59927827,0,55,0,Среднее специальное,Состою в браке,0,0,1,0,1,0,1,1
7.0,свыше 50000 руб.,60000.0,83106.0,6,20000.0,59927916,0,37,1,Высшее,Разведен(а),2,2,1,0,0,0,1,1
108.0,от 10000 до 20000 руб.,10000.0,9000.0,6,1100.0,59927923,0,38,0,Среднее,Состою в браке,2,2,1,0,0,1,1,1
48.0,от 5000 до 10000 руб.,8000.0,4520.0,6,1150.0,59928049,0,23,1,Среднее,Не состоял в браке,2,2,1,0,0,0,1,1
360.0,от 20000 до 50000 руб.,7000.0,21550.0,8,5000.0,59928086,0,53,0,Среднее специальное,Состою в браке,2,0,1,0,0,1,1,1
180.0,от 10000 до 20000 руб.,7800.0,6750.0,6,750.0,59928106,0,40,0,Среднее специальное,Состою в браке,2,0,1,0,0,0,1,1
180.0,свыше 50000 руб.,18000.0,20690.0,12,2300.0,59928443,0,59,1,Среднее,Состою в браке,3,1,1,1,1,0,2,1
24.0,от 10000 до 20000 руб.,10000.0,5000.0,3,7500.0,59928497,0,37,1,Среднее специальное,Состою в браке,2,2,1,0,0,0,1,1
12.0,от 10000 до 20000 руб.,12000.0,6600.0,6,1170.0,59928561,1,27,0,Среднее,Состою в браке,2,2,1,0,1,0,2,2
120.0,от 20000 до 50000 руб.,25000.0,5390.0,3,600.0,59928609,0,63,1,Высшее,Состою в браке,0,0,1,0,0,0,1,1
240.0,от 10000 до 20000 руб.,12000.0,9750.0,4,16000.0,59928861,0,57,1,Среднее специальное,Разведен(а),0,0,1,0,0,0,1,1
216.0,от 10000 до 20000 руб.,15000.0,2889.0,3,1500.0,59928901,1,42,0,Среднее специальное,Разведен(а),0,0,1,0,0,1,2,2
84.0,от 10000 до 20000 руб.,10000.0,29700.0,12,3300.0,59928942,0,31,0,Неоконченное высшее,Состою в браке,2,2,1,0,0,0,3,2
85.0,от 5000 до 10000 руб.,3300.0,2890.0,4,510.0,59929169,0,33,1,Среднее,Состою в браке,2,2,1,0,0,0,1,1
27.0,от 20000 до 50000 руб.,30000.0,29615.0,12,5226.9,59929176,0,31,0,Среднее,Состою в браке,1,2,1,0,0,0,2,1
336.0,от 10000 до 20000 руб.,8000.0,5740.0,6,500.0,59929197,0,51,1,Среднее специальное,Состою в браке,2,0,1,0,1,0,2,1
40.0,от 20000 до 50000 руб.,25000.0,4673.0,5,150.0,59929552,0,28,0,Среднее,Состою в браке,1,2,1,0,0,0,2,2
36.0,от 10000 до 20000 руб.,6000.0,5490.0,6,4500.0,59929697,0,27,1,Среднее,Не состоял в браке,1,1,1,0,0,0,1,1
36.0,от 10000 до 20000 руб.,10000.0,11590.0,6,1300.0,59929797,0,48,0,Высшее,Состою в браке,1,1,1,0,0,1,1,1
12.0,от 5000 до 10000 руб.,6500.0,35530.0,12,5000.0,59929832,0,24,0,Высшее,Состою в браке,1,1,1,0,0,0,1,1
12.0,от 20000 до 50000 руб.,25000.0,5436.0,6,4000.0,59929846,0,29,0,Среднее специальное,Состою в браке,1,1,1,0,1,0,1,1
468.0,от 5000 до 10000 руб.,9300.0,3350.0,4,1000.0,59929855,0,66,1,Среднее специальное,Вдовец/Вдова,1,0,1,1,1,0,1,1
96.0,от 10000 до 20000 руб.,10000.0,3690.0,6,410.0,59929948,0,49,0,Среднее,Не состоял в браке,1,1,1,0,0,0,1,1
24.0,свыше 50000 руб.,15000.0,6990.0,3,6000.0,59930128,0,23,0,Среднее,Не состоял в браке,0,0,1,0,0,0,1,1
60.0,от 10000 до 20000 руб.,8000.0,8880.0,6,0.0,59930152,0,34,0,Высшее,Состою в браке,1,1,1,0,1,0,1,1
6.0,от 10000 до 20000 руб.,13000.0,11727.0,6,1303.0,59930194,1,35,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,1,1
120.0,от 20000 до 50000 руб.,18000.0,32800.0,3,3700.0,59930219,0,34,1,Высшее,Состою в браке,1,1,1,0,1,0,2,2
36.0,от 10000 до 20000 руб.,10000.0,13920.0,10,5000.0,59930389,0,49,1,Среднее специальное,Гражданский брак,0,0,1,0,0,0,1,1
18.0,от 10000 до 20000 руб.,20000.0,24330.0,6,10000.0,59930422,0,29,0,Высшее,Не состоял в браке,0,0,1,0,0,0,1,1
72.0,от 10000 до 20000 руб.,12000.0,12999.0,6,2000.0,59930424,0,57,0,Неоконченное высшее,Состою в браке,3,0,1,0,0,1,1,1
410.0,от 20000 до 50000 руб.,20000.0,37880.0,3,4300.0,59930490,0,63,1,Высшее,Состою в браке,3,0,1,1,0,0,1,1
48.0,от 20000 до 50000 руб.,35000.0,16730.0,6,4200.0,59930738,0,33,0,Среднее,Состою в браке,0,0,1,0,0,1,1,1
168.0,от 20000 до 50000 руб.,18000.0,17466.0,5,1759.0,59931044,0,48,1,Среднее специальное,Состою в браке,0,0,1,0,0,0,1,1
60.0,от 20000 до 50000 руб.,17000.0,6800.0,4,4000.0,59931084,0,36,1,Высшее,Разведен(а),1,0,1,0,0,1,1,1
12.0,от 10000 до 20000 руб.,6000.0,6100.0,12,1000.0,59931383,0,34,0,Неполное среднее,Состою в браке,2,2,1,0,1,0,2,1
23.0,от 5000 до 10000 руб.,5500.0,4888.0,6,862.0,59931442,0,23,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,1,1
18.0,от 20000 до 50000 руб.,28000.0,18643.0,5,1877.0,59931474,0,29,0,Два и более высших образования,Состою в браке,0,0,1,0,1,0,1,1
84.0,от 10000 до 20000 руб.,9000.0,7900.0,6,500.0,59931501,0,47,1,Среднее,Состою в браке,2,0,1,0,0,0,1,1
36.0,от 10000 до 20000 руб.,14000.0,20000.0,8,3484.0,59931579,0,34,1,Среднее специальное,Разведен(а),1,1,1,0,0,0,1,1
12.0,от 5000 до 10000 руб.,7000.0,9850.0,4,1100.0,59931767,0,53,1,Неполное среднее,Не состоял в браке,0,0,1,0,0,0,1,1
96.0,от 5000 до 10000 руб.,10000.0,12650.0,10,3000.0,59931959,0,34,1,Среднее специальное,Разведен(а),2,2,1,0,0,0,1,1
60.0,от 20000 до 50000 руб.,25000.0,3196.0,5,2131.0,59931983,1,47,1,Среднее специальное,Не состоял в браке,1,0,1,0,1,0,1,1
24.0,от 20000 до 50000 руб.,20000.0,13598.0,6,1600.0,59932008,0,24,0,Среднее специальное,Состою в браке,0,0,1,0,0,1,1,1
6.0,от 10000 до 20000 руб.,10000.0,11680.0,6,1300.0,59932520,0,42,0,Среднее специальное,Разведен(а),1,0,1,0,0,0,1,1
